t,x_real,y_real,x_desejado,y_desejado
7.3909759521484375e-06,6.356076516610776,0.00021853731562776455,5.999999999998695,-7.760524749754214e-07
1.465548038482666,6.078610764965831,0.00018043180299765494,5.948777562699167,-0.15260229825111055
1.5164339542388916,6.078610764965831,0.00018043180299765494,5.945165117651856,-0.15780742605143155
1.5667669773101807,6.078610764965831,0.00018043180299765494,5.9414715009280155,-0.16294660835512614
1.6170995235443115,6.078610764965831,0.00018043180299765494,5.9376582423762185,-0.16807609565324982
1.667661190032959,6.078610764965831,0.00018043180299765494,5.933707219721658,-0.17321891197707318
1.7180044651031494,6.078610764965831,0.00018043180299765494,5.9296534558356555,-0.17832922885394348
1.7685823440551758,6.078610764965831,0.00018043180299765494,5.925460511315014,-0.18345271578162248
1.8192005157470703,6.078610764965831,0.00018043180299765494,5.921143610988648,-0.18856929271702705
1.8699281215667725,6.078610764965831,0.00018043180299765494,5.916696424035721,-0.1936855886006405
1.9207763671875,6.078610764965831,0.00018043180299765494,5.912117249187744,-0.19880234356825388
1.971226692199707,5.9306282660493705,-0.007110845260351599,5.907453883204007,-0.20386716275486383
2.0239059925079346,5.9306282660493705,-0.007110845260351599,5.902457005549309,-0.20914277787565633
2.074281692504883,5.9306282660493705,-0.007110845260351599,5.8975569360665645,-0.21417498167953553
2.1246469020843506,5.9306282660493705,-0.007110845260351599,5.89253906067772,-0.21919340239037532
2.175032377243042,5.9306282660493705,-0.007110845260351599,5.887400396935261,-0.22420079769625512
2.225471019744873,5.9306282660493705,-0.007110845260351599,5.882137448908244,-0.2292001055356957
2.2770376205444336,5.9306282660493705,-0.007110845260351599,5.8766339894443504,-0.23429706650342647
2.3281757831573486,5.9306282660493705,-0.007110845260351599,5.871053754779656,-0.23933723832731568
2.37870192527771,5.9306282660493705,-0.007110845260351599,5.865420626824299,-0.2443026564303017
2.429384231567383,5.9306282660493705,-0.007110845260351599,5.859650711798796,-0.2492687023368998
2.4804422855377197,5.9306282660493705,-0.007110845260351599,5.8537172634361365,-0.25425634969103805
2.531146287918091,5.9306282660493705,-0.007110845260351599,5.8477051538355305,-0.25919399044674407
2.5822699069976807,5.9306282660493705,-0.007110845260351599,5.841522557955951,-0.26415662534468265
2.6353514194488525,5.9306282660493705,-0.007110845260351599,5.83497506177331,-0.2692921205961636
2.685781240463257,5.769818660031438,-0.1721655149816717,5.828633884751264,-0.27415453096363496
2.7362897396087646,5.769818660031438,-0.1721655149816717,5.822165021280504,-0.27900806808582646
2.786895513534546,5.769818660031438,-0.1721655149816717,5.815565624657731,-0.28385413272216153
2.8373892307281494,5.769818660031438,-0.1721655149816717,5.808863198676329,-0.28867238741696566
2.8878824710845947,5.769818660031438,-0.1721655149816717,5.802043481722297,-0.29347323847052786
2.9384853839874268,5.769818660031438,-0.1721655149816717,5.795091375215221,-0.29826680403228933
2.9890027046203613,5.769818660031438,-0.1721655149816717,5.788033783693555,-0.3030342768102481
3.039472818374634,5.769818660031438,-0.1721655149816717,5.780865970737866,-0.30777905416147533
3.090479850769043,5.769818660031438,-0.1721655149816717,5.77350344231691,-0.31255548347795103
3.1424989700317383,5.769818660031438,-0.1721655149816717,5.765872350046253,-0.3174068821514967
3.1929407119750977,5.769818660031438,-0.1721655149816717,5.758354722288624,-0.32209177065540806
3.243412733078003,5.769818660031438,-0.1721655149816717,5.750716536090954,-0.32676005598098823
3.2939512729644775,5.769818660031438,-0.1721655149816717,5.7429521510845944,-0.3314147411822258
3.344454765319824,5.769818660031438,-0.1721655149816717,5.7350772433995605,-0.33604616110183616
3.3951878547668457,5.769818660031438,-0.1721655149816717,5.727050061721151,-0.3406781750419633
3.446200370788574,5.769818660031438,-0.1721655149816717,5.718861154519959,-0.3453147264933696
3.4973416328430176,5.6105207969001745,-0.28080648308575606,5.710533492253548,-0.3499415681143664
3.5478286743164062,5.6105207969001745,-0.28080648308575606,5.702196577381297,-0.35448789908597245
3.6006455421447754,5.6105207969001745,-0.28080648308575606,5.693352026653669,-0.3592210411885073
3.651381731033325,5.6105207969001745,-0.28080648308575606,5.6847377512749215,-0.3637452873981837
3.7018091678619385,5.6105207969001745,-0.28080648308575606,5.676061380156671,-0.3682199234973247
