t,x_real,y_real,x_desejado,y_desejado
5.0067901611328125e-06,6.371763974643459,0.0001686607515072126,5.999999999999401,-5.257129669188941e-07
1.287214994430542,6.116182753598013,0.00018403556154194175,5.96047019016983,-0.13428983065608802
1.3381195068359375,6.116182753598013,0.00018403556154194175,5.957286207603643,-0.1395278202038715
1.3888096809387207,6.116182753598013,0.00018403556154194175,5.95399361970685,-0.14473536879955062
1.4391658306121826,6.116182753598013,0.00018403556154194175,5.95060225132908,-0.14990000547613075
1.4896624088287354,6.116182753598013,0.00018403556154194175,5.947080922977678,-0.1550701306508111
1.5401499271392822,6.116182753598013,0.00018403556154194175,5.943439670597818,-0.16023009434557295
1.5906898975372314,6.116182753598013,0.00018403556154194175,5.939673987337915,-0.165385861131435
1.6416873931884766,6.116182753598013,0.00018403556154194175,5.935751948985404,-0.17057829356854365
1.6920506954193115,6.116182753598013,0.00018403556154194175,5.931758240248147,-0.17569597732193232
1.7423951625823975,5.938181879426963,0.0009296312586279925,5.927646494716795,-0.18080133234879991
1.7929353713989258,5.938181879426963,0.0009296312586279925,5.923398652531119,-0.18591575575687447
1.8435759544372559,5.938181879426963,0.0009296312586279925,5.91902177160137,-0.19102919241579253
1.8945035934448242,5.938181879426963,0.0009296312586279925,5.914498433424725,-0.19616005106748008
1.9450833797454834,5.938181879426963,0.0009296312586279925,5.90988535308745,-0.20124407595874516
1.9954869747161865,5.938181879426963,0.0009296312586279925,5.905168852283836,-0.20629839733308647
2.048621654510498,5.938181879426963,0.0009296312586279925,5.900067760683165,-0.21161328404097268
2.0991599559783936,5.938181879426963,0.0009296312586279925,5.895093162234672,-0.21665547764102122
2.149686098098755,5.938181879426963,0.0009296312586279925,5.890000229282193,-0.22168349056327663
2.2005789279937744,5.938181879426963,0.0009296312586279925,5.884749634092604,-0.22673457654812457
2.2512896060943604,5.938181879426963,0.0009296312586279925,5.879397466867738,-0.2317538815516209
2.301689863204956,5.938181879426963,0.0009296312586279925,5.87395913910001,-0.23672860377692728
2.3520476818084717,5.938181879426963,0.0009296312586279925,5.868407108238829,-0.24168503752646797
2.4025964736938477,5.938181879426963,0.0009296312586279925,5.862715245867129,-0.24664579090728145
2.453235626220703,5.938181879426963,0.0009296312586279925,5.856894021392469,-0.2516005647995535
2.503660202026367,5.938181879426963,0.0009296312586279925,5.850979062134103,-0.25651927510292316
2.5540430545806885,5.83441698685252,-0.10683015149405369,5.844951131006006,-0.2614185974456411
2.6044507026672363,5.83441698685252,-0.10683015149405369,5.838802468831302,-0.2663047085607867
2.6547768115997314,5.83441698685252,-0.10683015149405369,5.8325463871589385,-0.27116702957696026
2.7052879333496094,5.83441698685252,-0.10683015149405369,5.8261495341116305,-0.2760309655949822
2.756019353866577,5.83441698685252,-0.10683015149405369,5.819606170552396,-0.2808994166319393
2.8064584732055664,5.83441698685252,-0.10683015149405369,5.812982816005904,-0.28572292704061075
2.856839418411255,5.83441698685252,-0.10683015149405369,5.806250105183391,-0.2905237650976137
2.907315969467163,5.83441698685252,-0.10683015149405369,5.799387513712623,-0.2953162687838512
2.9578380584716797,5.83441698685252,-0.10683015149405369,5.792401516939329,-0.3000953141879621
3.008286476135254,5.83441698685252,-0.10683015149405369,5.7853088588293495,-0.3048493437785552
